route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LTFRB_PUJ1770,724594,724939,,,,,0,
LTFRB_PUJ1759,724594,724940,,,,,0,
LTFRB_PUJ2516,724594,724941,,,,,0,
LTFRB_PUJ2566,724594,724942,,,,,0,
LTFRB_PUJ1445,724594,724943,,,,,0,
LTFRB_PUJ1956,724594,724944,,,,,0,
LTFRB_PUJ2538,724594,724945,,,,,0,
LTFRB_PUJ1222,724594,724946,,,,,0,
LTFRB_PUJ1717,724594,724947,,,,,0,
LTFRB_PUJ1111,724594,724948,,,,,0,
LTFRB_PUJ2218,724594,724949,,,,,0,
LTFRB_PUB1047,724594,724950,,,,,0,
LTFRB_PUJ1387,724594,724951,,,,,0,
LTFRB_PUJ1898,724594,724952,,,,,0,
LTFRB_PUJ2035,724594,724953,,,,,0,
LTFRB_PUJ1005,724594,724954,,,,884341,0,
LTFRB_PUJ1398,724594,724955,,,,,0,
LTFRB_PUJ1108,724594,724956,,,,,0,
LTFRB_PUJ1504,724594,724957,,,,,0,
LTFRB_PUJ1943,724594,724958,,,,,0,
LTFRB_PUJ2107,724594,724959,,,,,0,
LTFRB_PUJ1151,724594,724960,,,,,0,
LTFRB_PUJ2612,724594,724961,,,,,0,
LTFRB_PUJ1210,724594,724962,,,,,0,
LTFRB_PUJ2008,724594,724963,,,,,0,
LTFRB_PUJ2476,724594,724964,,,,,0,
LTFRB_PUJ1656,724594,724965,,,,,0,
LTFRB_PUJ2301,724594,724966,,,,,0,
LTFRB_PUJ1680,724594,724967,,,,,0,
LTFRB_PUJ2137,724594,724968,,,,881761,0,
LTFRB_PUJ1645,724594,724969,,,,,0,
LTFRB_PUJ1855,724594,724970,,,,,0,
LTFRB_PUJ2001,724594,724971,,,,,0,
LTFRB_PUJ2614,724594,724972,,,,,0,
LTFRB_PUJ2169,724594,724973,,,,,0,
LTFRB_PUJ1528,724594,724974,,,,,0,
LTFRB_PUJ1193,724594,724975,,,,,0,
LTFRB_PUJ1430,724594,724976,,,,,0,
LTFRB_PUJ1799,724594,724977,,,,,0,
LTFRB_PUJ1517,724594,724978,,,,,0,
LTFRB_PUB1152,724594,724979,,,,,0,
LTFRB_PUJ2349,724594,724980,,,,,0,
LTFRB_PUJ1757,724594,724981,,,,,0,
LTFRB_PUJ2097,724594,724982,,,,,0,
LTFRB_PUJ1767,724594,724983,,,,,0,
LTFRB_PUJ1870,724594,724984,,,,,0,
LTFRB_PUJ2433,724594,724985,,,,,0,
LTFRB_PUJ2370,724594,724986,,,,,0,
LTFRB_PUJ1361,724594,724987,,,,,0,
LTFRB_PUJ1609,724594,724988,,,,,0,
LTFRB_PUJ1395,724594,724989,,,,,0,
LTFRB_PUJ1391,724594,724990,,,,,0,
LTFRB_PUJ2535,724594,724991,,,,,0,
LTFRB_PUJ2591,724594,724992,,,,,0,
LTFRB_PUJ2156,724594,724993,,,,,0,
LTFRB_PUJ2290,724594,724994,,,,,0,
LTFRB_PUJ2197,724594,724995,,,,,0,
LTFRB_PUJ2212,724594,724996,,,,,0,
LTFRB_PUJ2112,724594,724997,,,,,0,
LTFRB_PUJ1011,724594,724998,,,,884371,0,
LTFRB_PUJ2298,724594,724999,,,,,0,
LTFRB_PUJ2008,724594,725000,,,,,0,
LTFRB_PUJ2153,724594,725001,,,,,0,
LTFRB_PUB1180,724594,725002,,,,,0,
LTFRB_PUJ1154,724594,725003,,,,,0,
LTFRB_PUJ1109,724594,725004,,,,,0,
LTFRB_PUB1092,724594,725005,,,,,0,
LTFRB_PUJ1730,724594,725006,,,,,0,
LTFRB_PUJ1904,724594,725007,,,,,0,
LTFRB_PUJ2414,724594,725008,,,,,0,
LTFRB_PUJ1890,724594,725009,,,,,0,
LTFRB_PUJ2235,724594,725010,,,,,0,
LTFRB_PUJ1060,724594,725011,,,,,0,
LTFRB_PUJ1080,724594,725012,,,,,0,
LTFRB_PUJ2214,724594,725013,,,,,0,
LTFRB_PUJ1537,724594,725014,,,,,0,
LTFRB_PUJ1175,724594,725015,,,,,0,
LTFRB_PUJ2309,724594,725016,,,,,0,
LTFRB_PUB1126,724594,725017,,,,,0,
LTFRB_PUJ1814,724594,725018,,,,,0,
LTFRB_PUB1100,724594,725019,,,,,0,
LTFRB_PUJ1901,724594,725020,,,,,0,
LTFRB_PUB1019,724594,725021,,,,,0,
LTFRB_PUJ1828,724594,725022,,,,,0,
LTFRB_PUJ2532,724594,725023,,,,,0,
LTFRB_PUB1070,724594,725024,,,,,0,
LTFRB_PUJ1072,724594,725025,,,,,0,
LTFRB_PUJ1888,724594,725026,,,,,0,
LTFRB_PUJ1892,724594,725027,,,,,0,
LTFRB_PUJ2046,724594,725028,,,,,0,
LTFRB_PUJ2322,724594,725029,,,,,0,
LTFRB_PUJ1133,724594,725030,,,,,0,
LTFRB_PUJ1739,724594,725031,,,,,0,
LTFRB_PUJ2432,724594,725032,,,,,0,
LTFRB_PUJ1412,724594,725033,,,,,0,
LTFRB_PUJ1812,724594,725034,,,,,0,
LTFRB_PUJ1263,724594,725035,,,,,0,
LTFRB_PUJ2334,724594,725036,,,,,0,
LTFRB_PUB1176,724594,725037,,,,,0,
LTFRB_PUJ1462,724594,725038,,,,,0,
LTFRB_PUJ2545,724594,725039,,,,,0,
LTFRB_PUJ1319,724594,725040,,,,,0,
LTFRB_PUJ2070,724594,725041,,,,,0,
LTFRB_PUB1175,724594,725042,,,,,0,
LTFRB_PUJ2201,724594,725043,,,,,0,
LTFRB_PUJ1744,724594,725044,,,,,0,
LTFRB_PUJ2100,724594,725045,,,,,0,
LTFRB_PUJ2562,724594,725046,,,,,0,
LTFRB_PUJ1551,724594,725047,,,,,0,
LTFRB_PUB1057,724594,725048,,,,,0,
LTFRB_PUJ2540,724594,725049,,,,,0,
LTFRB_PUB1158,724594,725050,,,,,0,
LTFRB_PUJ2101,724594,725051,,,,,0,
LTFRB_PUJ1913,724594,725052,,,,,0,
LTFRB_PUJ1709,724594,725053,,,,,0,
LTFRB_PUJ2560,724594,725054,,,,,0,
LTFRB_PUJ2108,724594,725055,,,,,0,
LTFRB_PUJ1168,724594,725056,,,,,0,
LTFRB_PUJ2281,724594,725057,,,,,0,
LTFRB_PUJ1485,724594,725058,,,,,0,
LTFRB_PUB1050,724594,725059,,,,,0,
LTFRB_PUJ1821,724594,725060,,,,,0,
LTFRB_PUJ2321,724594,725061,,,,,0,
LTFRB_PUB1068,724594,725062,,,,,0,
LTFRB_PUJ2006,724594,725063,,,,,0,
LTFRB_PUJ1304,724594,725064,,,,,0,
LTFRB_PUJ2204,724594,725065,,,,,0,
LTFRB_PUJ2369,724594,725066,,,,,0,
LTFRB_PUJ1548,724594,725067,,,,,0,
LTFRB_PUJ1535,724594,725068,,,,,0,
LTFRB_PUJ2086,724594,725069,,,,,0,
LTFRB_PUJ2357,724594,725070,,,,,0,
LTFRB_PUJ1926,724594,725071,,,,,0,
LTFRB_PUJ2386,724594,725072,,,,,0,
LTFRB_PUJ2350,724594,725073,,,,,0,
LTFRB_PUJ2388,724594,725074,,,,,0,
LTFRB_PUJ1009,724594,725075,,,,884369,0,
LTFRB_PUJ1640,724594,725076,,,,,0,
LTFRB_PUJ1876,724594,725077,,,,,0,
LTFRB_PUJ1801,724594,725078,,,,,0,
LTFRB_PUJ1538,724594,725079,,,,,0,
LTFRB_PUJ1992,724594,725080,,,,,0,
LTFRB_PUJ1375,724594,725081,,,,,0,
LTFRB_PUJ2219,724594,725082,,,,,0,
LTFRB_PUB1060,724594,725083,,,,,0,
LTFRB_PUJ2091,724594,725084,,,,,0,
LTFRB_PUJ1160,724594,725085,,,,,0,
LTFRB_PUJ1091,724594,725086,,,,,0,
LTFRB_PUJ1881,724594,725087,,,,,0,
LTFRB_PUJ1907,724594,725088,,,,,0,
LTFRB_PUJ1062,724594,725089,,,,,0,
LTFRB_PUJ1935,724594,725090,,,,,0,
LTFRB_PUJ2200,724594,725091,,,,,0,
LTFRB_PUJ1344,724594,725092,,,,,0,
LTFRB_PUJ2145,724594,725093,,,,,0,
LTFRB_PUJ2571,724594,725094,,,,,0,
LTFRB_PUJ2553,724594,725095,,,,,0,
LTFRB_PUB1124,724594,725096,,,,,0,
LTFRB_PUJ2515,724594,725097,,,,,0,
LTFRB_PUJ1125,724594,725098,,,,,0,
LTFRB_PUJ1846,724594,725099,,,,,0,
LTFRB_PUJ1736,724594,725100,,,,,0,
LTFRB_PUJ1975,724594,725101,,,,,0,
LTFRB_PUB1059,724594,725102,,,,,0,
LTFRB_PUJ1406,724594,725103,,,,,0,
LTFRB_PUJ1057,724594,725104,,,,,0,
LTFRB_PUJ2163,724594,725105,,,,,0,
LTFRB_PUJ2572,724594,725106,,,,,0,
LTFRB_PUJ1194,724594,725107,,,,,0,
LTFRB_PUJ1680,724594,725108,,,,,0,
LTFRB_PUJ2071,724594,725109,,,,,0,
LTFRB_PUB1167,724594,725110,,,,,0,
LTFRB_PUJ1968,724594,725111,,,,,0,
LTFRB_PUJ1234,724594,725112,,,,,0,
LTFRB_PUJ1597,724594,725113,,,,,0,
LTFRB_PUJ1189,724594,725114,,,,,0,
LTFRB_PUJ2463,724594,725115,,,,,0,
LTFRB_PUJ1056,724594,725116,,,,,0,
